00AR               20221102                                                                                   
0601ARA0N       20230101000000100000115000 0000000030000026   
0601ARA0N       20230101000115100000005000 0000000030000026   
0601ARA0N       20230101000120100000005000 0000000030000024   
0601ARA0N       20230101000125100000005000 0000000030000024   
0601ARA0N       20230101000130100000005000 0000000030000023   
0601ARA0N       20230101000135100000005000 0000000030000022   
0601ARA0N       20230101000140100000005000 0000000030000021   
0601ARA0N       20230101000145100000005000 0000000030000020   
0601ARA0N       20230101000150100000005000 0000000030000022   
0601ARA0N       20230101000155100000005000 0000000030000035   
0601ARA0N       20230101000160100000005000 0000000030000053   
0601ARA0N       20230101000165100000005000 0000000030000070   
0601ARA0N       20230101000170100000005000 0000000030000086   
0601ARA0N       20230101000175100000005000 0000000030000109   
0601ARA0N       20230101000180100000005000 0000000030000132   
0601ARA0N       20230101000185100000005000 0000000030000153   
0601ARA0N       20230101000190100000005000 0000000030000173   
0601ARA0N       20230101000195100000005000 0000000030000192   
0601ARA0N       20230101000200100000005000 0000000030000210   
0601ARA0N       20230101000205100000005000 0000000030000227   
0601ARA0N       20230101000210100000005000 0000000030000245   
0601ARA0N       20230101000215100000005000 0000000030000266   
0601ARA0N       20230101000220100000005000 0000000030000287   
0601ARA0N       20230101000225100000005000 0000000030000306   
0601ARA0N       20230101000230100000005000 0000000030000325   
0601ARA0N       20230101000235100000005000 0000000030000343   
0601ARA0N       20230101000240100000005000 0000000030000360   
0601ARA0N       20230101000245100000005000 0000000030000376   
0601ARA0N       20230101000250100000005000 0000000030000392   
0601ARA0N       20230101000255100000005000 0000000030000407   
0601ARA0N       20230101000260100000005000 0000000030000422   
0601ARA0N       20230101000265100000005000 0000000030000436   
0601ARA0N       20230101000270100000005000 0000000030000449   
0601ARA0N       20230101000275100000005000 0000000030000462   
0601ARA0N       20230101000280100000005000 0000000030000475   
0601ARA0N       20230101000285100000005000 0000000030000487   
0601ARA0N       20230101000290100000005000 0000000030000499   
0601ARA0N       20230101000295100000005000 0000000030000510   
0601ARA0N       20230101000300100000005000 0000000030000521   
0601ARA0N       20230101000305100000005000 0000000030000532   
0601ARA0N       20230101000310100000005000 0000000030000542   
0601ARA0N       20230101000315100000005000 0000000030000552   
0601ARA0N       20230101000320100000005000 0000000030000561   
0601ARA0N       20230101000325100000005000 0000000030000575   
0601ARA0N       20230101000330100000005000 0000000030000587   
0601ARA0N       20230101000335100000005000 0000000030000600   
0601ARA0N       20230101000340100000005000 0000000030000612   
0601ARA0N       20230101000345100000005000 0000000030000623   
0601ARA0N       20230101000350100000005000 0000000030000634   
0601ARA0N       20230101000355100000005000 0000000030000645   
0601ARA0N       20230101000360100000005000 0000000030000656   
0601ARA0N       20230101000365100000005000 0000000030000666   
0601ARA0N       20230101000370100000005000 0000000030000677   
0601ARA0N       20230101000375100000005000 0000000030000686   
0601ARA0N       20230101000380100000005000 0000000030000696   
0601ARA0N       20230101000385100000005000 0000000030000705   
0601ARA0N       20230101000390100000005000 0000000030000715   
0601ARA0N       20230101000395100000005000 0000000030000724   
0601ARA0N       20230101000400100000005000 0000000030000732   
0601ARA0N       20230101000405100000005000 0000000030000741   
0601ARA0N       20230101000410100000005000 0000000030000749   
0601ARA0N       20230101000415100000005000 0000000030000757   
0601ARA0N       20230101000420100000005000 0000000030000765   
0601ARA0N       20230101000425100000005000 0000000030000773   
0601ARA0N       20230101000430100000005000 0000000030000781   
0601ARA0N       20230101000435100000005000 0000000030000788   
0601ARA0N       20230101000440100000005000 0000000030000795   
0601ARA0N       20230101000445100000005000 0000000030000802   
0601ARA0N       20230101000450100000005000 0000000030000809   
0601ARA0N       20230101000455100000005000 0000000030000816   
0601ARA0N       20230101000460100000005000 0000000030000823   
0601ARA0N       20230101000465100000005000 0000000030000830   
0601ARA0N       20230101000470100000005000 0000000030000841   
0601ARA0N       20230101000475100000005000 0000000030000849   
0601ARA0N       20230101000480100000005000 0000000030000857   
0601ARA0N       20230101000485100000005000 0000000030000865   
0601ARA0N       20230101000490100000005000 0000000030000874   
0601ARA0N       20230101000495100000005000 0000000030000882   
0601ARA0N       20230101000500100000005000 0000000030000890   
0601ARA0N       20230101000505100000005000 0000000030000898   
0601ARA0N       20230101000510100000005000 0000000030000906   
0601ARA0N       20230101000515100000005000 0000000030000914   
0601ARA0N       20230101000520100000005000 0000000030000921   
0601ARA0N       20230101000525100000005000 0000000030000929   
0601ARA0N       20230101000530100000005000 0000000030000936   
0601ARA0N       20230101000535100000005000 0000000030000943   
0601ARA0N       20230101000540100000005000 0000000030000950   
0601ARA0N       20230101000545100000005000 0000000030000957   
0601ARA0N       20230101000550100000005000 0000000030000964   
0601ARA0N       20230101000555100000005000 0000000030000971   
0601ARA0N       20230101000560100000005000 0000000030000977   
0601ARA0N       20230101000565100000005000 0000000030000983   
0601ARA0N       20230101000570100000005000 0000000030000990   
0601ARA0N       20230101000575100000005000 0000000030000998   
0601ARA0N       20230101000580100000005000 0000000030001005   
0601ARA0N       20230101000585100000005000 0000000030001012   
0601ARA0N       20230101000590100000005000 0000000030001019   
0601ARA0N       20230101000595100000005000 0000000030001025   
0601ARA0N       20230101000600100000005000 0000000030001035   
0601ARA0N       20230101000605100000005000 0000000030001041   
0601ARA0N       20230101000610100000005000 0000000030001047   
0601ARA0N       20230101000615100000005000 0000000030001054   
0601ARA0N       20230101000620100000005000 0000000030001060   
0601ARA0N       20230101000625100000005000 0000000030001069   
0601ARA0N       20230101000630100000005000 0000000030001075   
0601ARA0N       20230101000635100000005000 0000000030001081   
0601ARA0N       20230101000640100000005000 0000000030001087   
0601ARA0N       20230101000645100000005000 0000000030001093   
0601ARA0N       20230101000650100000005000 0000000030001101   
0601ARA0N       20230101000655100000005000 0000000030001107   
0601ARA0N       20230101000660100000005000 0000000030001112   
0601ARA0N       20230101000665100000005000 0000000030001118   
0601ARA0N       20230101000670100000005000 0000000030001123   
0601ARA0N       20230101000675100000005000 0000000030001131   
0601ARA0N       20230101000680100000005000 0000000030001136   
0601ARA0N       20230101000685100000005000 0000000030001142   
0601ARA0N       20230101000690100000005000 0000000030001147   
