00VD               20221027                                                                                   
0601VDA0N       20230101000000100000240000 0000000000000000   
0601VDA0N       20230101000240100000005000 0000000000000009   
0601VDA0N       20230101000245100000005000 0000000000000010   
0601VDA0N       20230101000250100000005000 0000000000000011   
0601VDA0N       20230101000255100000005000 0000000000000012   
0601VDA0N       20230101000260100000005000 0000000000000013   
0601VDA0N       20230101000265100000005000 0000000000000014   
0601VDA0N       20230101000270100000005000 0000000000000025   
0601VDA0N       20230101000275100000005000 0000000000000036   
0601VDA0N       20230101000280100000005000 0000000000000046   
0601VDA0N       20230101000285100000005000 0000000000000061   
0601VDA0N       20230101000290100000005000 0000000000000075   
0601VDA0N       20230101000295100000005000 0000000000000094   
0601VDA0N       20230101000300100000005000 0000000000000114   
0601VDA0N       20230101000305100000005000 0000000000000130   
0601VDA0N       20230101000310100000005000 0000000000000149   
0601VDA0N       20230101000315100000005000 0000000000000166   
0601VDA0N       20230101000320100000005000 0000000000000191   
0601VDA0N       20230101000325100000005000 0000000000000212   
0601VDA0N       20230101000330100000005000 0000000000000229   
0601VDA0N       20230101000335100000005000 0000000000000250   
0601VDA0N       20230101000340100000005000 0000000000000270   
0601VDA0N       20230101000345100000005000 0000000000000297   
0601VDA0N       20230101000350100000005000 0000000000000319   
0601VDA0N       20230101000355100000005000 0000000000000338   
0601VDA0N       20230101000360100000005000 0000000000000363   
0601VDA0N       20230101000365100000005000 0000000000000385   
0601VDA0N       20230101000370100000005000 0000000000000412   
0601VDA0N       20230101000375100000005000 0000000000000436   
0601VDA0N       20230101000380100000005000 0000000000000455   
0601VDA0N       20230101000385100000005000 0000000000000478   
0601VDA0N       20230101000390100000005000 0000000000000497   
0601VDA0N       20230101000395100000005000 0000000000000521   
0601VDA0N       20230101000400100000005000 0000000000000542   
0601VDA0N       20230101000405100000005000 0000000000000558   
0601VDA0N       20230101000410100000005000 0000000000000581   
0601VDA0N       20230101000415100000005000 0000000000000599   
0601VDA0N       20230101000420100000005000 0000000000000626   
