00AI               20231227                                                                                   
0601AIA0N       20240101000000100000020000 0000000000000000   
0601AIA0N       20240101000020100000005000 0000000000000000   
0601AIA0N       20240101000025100000005000 0000000000000000   
0601AIA0N       20240101000030100000005000 0000000000000000   
0601AIA0N       20240101000035100000005000 0000000000000000   
0601AIA0N       20240101000040100000005000 0000000000000000   
0601AIA0N       20240101000045100000005000 0000000000000000   
0601AIA0N       20240101000050100000005000 0000000000000000   
0601AIA0N       20240101000055100000005000 0000000000000000   
0601AIA0N       20240101000060100000005000 0000000000000000   
0601AIA0N       20240101000065100000005000 0000000000000000   
0601AIA0N       20240101000070100000005000 0000000000000000   
0601AIA0N       20240101000075100000005000 0000000000000000   
0601AIA0N       20240101000080100000005000 0000000000000012   
0601AIA0N       20240101000085100000005000 0000000000000011   
0601AIA0N       20240101000090100000005000 0000000000000022   
0601AIA0N       20240101000095100000005000 0000000000000031   
0601AIA0N       20240101000100100000005000 0000000000000039   
0601AIA0N       20240101000105100000005000 0000000000000037   
0601AIA0N       20240101000110100000005000 0000000000000053   
0601AIA0N       20240101000115100000005000 0000000000000060   
0601AIA0N       20240101000120100000005000 0000000000000073   
0601AIA0N       20240101000125100000005000 0000000000000086   
0601AIA0N       20240101000130100000005000 0000000000000091   
0601AIA0N       20240101000135100000005000 0000000000000102   
0601AIA0N       20240101000140100000005000 0000000000000112   
0601AIA0N       20240101000145100000005000 0000000000000122   
0601AIA0N       20240101000150100000005000 0000000000000131   
0601AIA0N       20240101000155100000005000 0000000000000146   
0601AIA0N       20240101000160100000005000 0000000000000154   
0601AIA0N       20240101000165100000005000 0000000000000161   
0601AIA0N       20240101000170100000005000 0000000000000174   
0601AIA0N       20240101000175100000005000 0000000000000186   
0601AIA0N       20240101000180100000005000 0000000000000197   
0601AIA0N       20240101000185100000005000 0000000000000208   
0601AIA0N       20240101000190100000005000 0000000000000218   
0601AIA0N       20240101000195100000005000 0000000000000228   
0601AIA0N       20240101000200100000005000 0000000000000242   
0601AIA0N       20240101000205100000005000 0000000000000251   
0601AIA0N       20240101000210100000005000 0000000000000264   
0601AIA0N       20240101000215100000005000 0000000000000276   
0601AIA0N       20240101000220100000005000 0000000000000283   
0601AIA0N       20240101000225100000005000 0000000000000295   
0601AIA0N       20240101000230100000005000 0000000000000305   
0601AIA0N       20240101000235100000005000 0000000000000316   
0601AIA0N       20240101000240100000005000 0000000000000338   
0601AIA0N       20240101000245100000005000 0000000000000352   
0601AIA0N       20240101000250100000005000 0000000000000360   
0601AIA0N       20240101000255100000005000 0000000000000369   
0601AIA0N       20240101000260100000005000 0000000000000381   
0601AIA0N       20240101000265100000005000 0000000000000393   
0601AIA0N       20240101000270100000005000 0000000000000404   
0601AIA0N       20240101000275100000005000 0000000000000414   
0601AIA0N       20240101000280100000005000 0000000000000425   
0601AIA0N       20240101000285100000005000 0000000000000438   
0601AIA0N       20240101000290100000005000 0000000000000451   
0601AIA0N       20240101000295100000005000 0000000000000457   
0601AIA0N       20240101000300100000005000 0000000000000469   
0601AIA0N       20240101000305100000005000 0000000000000478   
0601AIA0N       20240101000310100000005000 0000000000000490   
0601AIA0N       20240101000315100000005000 0000000000000501   
0601AIA0N       20240101000320100000005000 0000000000000509   
0601AIA0N       20240101000325100000005000 0000000000000519   
0601AIA0N       20240101000330100000005000 0000000000000529   
0601AIA0N       20240101000335100000005000 0000000000000539   
0601AIA0N       20240101000340100000005000 0000000000000546   
0601AIA0N       20240101000345100000005000 0000000000000555   
0601AIA0N       20240101000350100000005000 0000000000000562   
0601AIA0N       20240101000355100000005000 0000000000000573   
0601AIA0N       20240101000360100000005000 0000000000000582   
0601AIA0N       20240101000365100000005000 0000000000000588   
0601AIA0N       20240101000370100000005000 0000000000000599   
0601AIA0N       20240101000375100000005000 0000000000000607   
0601AIA0N       20240101000380100000005000 0000000000000614   
0601AIA0N       20240101000385100000005000 0000000000000619   
0601AIA0N       20240101000390100000005000 0000000000000629   
0601AIA0N       20240101000395100000005000 0000000000000636   
0601AIA0N       20240101000400100000005000 0000000000000646   
0601AIA0N       20240101000405100000005000 0000000000000653   
0601AIA0N       20240101000410100000005000 0000000000000657   
0601AIA0N       20240101000415100000005000 0000000000000666   
0601AIA0N       20240101000420100000005000 0000000000000672   
0601AIA0N       20240101000425100000005000 0000000000000678   
