00BL               20231108                                                                                   
0601BLA0N       20240101000000100000120000 0000000000000000   
0601BLA0N       20240101000120100000005000 0000000000000008   
0601BLA0N       20240101000125100000005000 0000000000000008   
0601BLA0N       20240101000130100000005000 0000000000000008   
0601BLA0N       20240101000135100000005000 0000000000000007   
0601BLA0N       20240101000140100000005000 0000000000000007   
0601BLA0N       20240101000145100000005000 0000000000000007   
0601BLA0N       20240101000150100000005000 0000000000000007   
0601BLA0N       20240101000155100000005000 0000000000000013   
0601BLA0N       20240101000160100000005000 0000000000000012   
0601BLA0N       20240101000165100000005000 0000000000000012   
0601BLA0N       20240101000170100000005000 0000000000000012   
0601BLA0N       20240101000175100000005000 0000000000000011   
0601BLA0N       20240101000180100000005000 0000000000000011   
0601BLA0N       20240101000185100000005000 0000000000000011   
0601BLA0N       20240101000190100000005000 0000000000000010   
0601BLA0N       20240101000195100000005000 0000000000000015   
0601BLA0N       20240101000200100000005000 0000000000000015   
0601BLA0N       20240101000205100000005000 0000000000000014   
0601BLA0N       20240101000210100000005000 0000000000000056   
0601BLA0N       20240101000215100000005000 0000000000000069   
0601BLA0N       20240101000220100000005000 0000000000000085   
0601BLA0N       20240101000225100000005000 0000000000000101   
0601BLA0N       20240101000230100000005000 0000000000000112   
0601BLA0N       20240101000235100000005000 0000000000000126   
0601BLA0N       20240101000240100000005000 0000000000000078   
0601BLA0N       20240101000245100000005000 0000000000000093   
0601BLA0N       20240101000250100000005000 0000000000000107   
0601BLA0N       20240101000255100000005000 0000000000000120   
0601BLA0N       20240101000260100000005000 0000000000000137   
0601BLA0N       20240101000265100000005000 0000000000000150   
0601BLA0N       20240101000270100000005000 0000000000000165   
0601BLA0N       20240101000275100000005000 0000000000000177   
0601BLA0N       20240101000280100000005000 0000000000000191   
0601BLA0N       20240101000285100000005000 0000000000000209   
0601BLA0N       20240101000290100000005000 0000000000000222   
0601BLA0N       20240101000295100000005000 0000000000000235   
0601BLA0N       20240101000300100000005000 0000000000000251   
0601BLA0N       20240101000305100000005000 0000000000000263   
0601BLA0N       20240101000310100000005000 0000000000000278   
0601BLA0N       20240101000315100000005000 0000000000000293   
0601BLA0N       20240101000320100000005000 0000000000000307   
0601BLA0N       20240101000325100000005000 0000000000000321   
0601BLA0N       20240101000330100000005000 0000000000000337   
0601BLA0N       20240101000335100000005000 0000000000000350   
0601BLA0N       20240101000340100000005000 0000000000000365   
0601BLA0N       20240101000345100000005000 0000000000000377   
0601BLA0N       20240101000350100000005000 0000000000000391   
0601BLA0N       20240101000355100000005000 0000000000000406   
0601BLA0N       20240101000360100000005000 0000000000000419   
0601BLA0N       20240101000365100000005000 0000000000000433   
0601BLA0N       20240101000370100000005000 0000000000000448   
0601BLA0N       20240101000375100000005000 0000000000000461   
0601BLA0N       20240101000380100000005000 0000000000000473   
0601BLA0N       20240101000385100000005000 0000000000000488   
0601BLA0N       20240101000390100000005000 0000000000000499   
0601BLA0N       20240101000395100000005000 0000000000000513   
0601BLA0N       20240101000400100000005000 0000000000000527   
0601BLA0N       20240101000405100000005000 0000000000000540   
0601BLA0N       20240101000410100000005000 0000000000000553   
0601BLA0N       20240101000415100000005000 0000000000000565   
0601BLA0N       20240101000420100000005000 0000000000000578   
0601BLA0N       20240101000425100000005000 0000000000000592   
0601BLA0N       20240101000430100000005000 0000000000000603   
0601BLA0N       20240101000435100000005000 0000000000000617   
0601BLA0N       20240101000440100000005000 0000000000000628   
0601BLA0N       20240101000445100000005000 0000000000000641   
0601BLA0N       20240101000450100000005000 0000000000000654   
0601BLA0N       20240101000455100000005000 0000000000000667   
0601BLA0N       20240101000460100000005000 0000000000000679   
0601BLA0N       20240101000465100000005000 0000000000000691   
0601BLA0N       20240101000470100000005000 0000000000000703   
0601BLA0N       20240101000475100000005000 0000000000000714   
0601BLA0N       20240101000480100000005000 0000000000000725   
0601BLA0N       20240101000485100000005000 0000000000000738   
0601BLA0N       20240101000490100000005000 0000000000000751   
0601BLA0N       20240101000495100000005000 0000000000000764   
0601BLA0N       20240101000500100000005000 0000000000000776   
0601BLA0N       20240101000505100000005000 0000000000000788   
0601BLA0N       20240101000510100000005000 0000000000000802   
0601BLA0N       20240101000515100000005000 0000000000000814   
