00GE               20231025                                                                                   
0601GEA0N       20240101000000000000239995 0000000000000000   
0601GEA0N       20240101000240000000005000 0000000000000009   
0601GEA0N       20240101000245000000005000 0000000000000010   
0601GEA0N       20240101000250000000005000 0000000000000030   
0601GEA0N       20240101000255000000005000 0000000000000053   
0601GEA0N       20240101000260000000005000 0000000000000076   
0601GEA0N       20240101000265000000005000 0000000000000098   
0601GEA0N       20240101000270000000005000 0000000000000119   
0601GEA0N       20240101000275000000005000 0000000000000139   
0601GEA0N       20240101000280000000005000 0000000000000158   
0601GEA0N       20240101000285000000005000 0000000000000178   
0601GEA0N       20240101000290000000005000 0000000000000198   
0601GEA0N       20240101000295000000005000 0000000000000218   
0601GEA0N       20240101000300000000005000 0000000000000237   
0601GEA0N       20240101000305000000005000 0000000000000256   
0601GEA0N       20240101000310000000005000 0000000000000276   
0601GEA0N       20240101000315000000005000 0000000000000296   
0601GEA0N       20240101000320000000005000 0000000000000315   
0601GEA0N       20240101000325000000005000 0000000000000334   
0601GEA0N       20240101000330000000005000 0000000000000353   
0601GEA0N       20240101000335000000005000 0000000000000372   
0601GEA0N       20240101000340000000005000 0000000000000391   
0601GEA0N       20240101000345000000005000 0000000000000410   
0601GEA0N       20240101000350000000005000 0000000000000428   
0601GEA0N       20240101000355000000005000 0000000000000447   
0601GEA0N       20240101000360000000005000 0000000000000466   
0601GEA0N       20240101000365000000005000 0000000000000485   
0601GEA0N       20240101000370000000005000 0000000000000503   
0601GEA0N       20240101000375000000005000 0000000000000520   
0601GEA0N       20240101000380000000005000 0000000000000537   
0601GEA0N       20240101000385000000005000 0000000000000554   
0601GEA0N       20240101000390000000005000 0000000000000570   
0601GEA0N       20240101000395000000005000 0000000000000586   
0601GEA0N       20240101000400000000005000 0000000000000602   
0601GEA0N       20240101000405000000005000 0000000000000617   
0601GEA0N       20240101000410000000005000 0000000000000633   
0601GEA0N       20240101000415000000005000 0000000000000649   
0601GEA0N       20240101000420000000005000 0000000000000665   
0601GEA0N       20240101000425000000005000 0000000000000680   
0601GEA0N       20240101000430000000005000 0000000000000695   
0601GEA0N       20240101000435000000005000 0000000000000710   
0601GEA0N       20240101000440000000005000 0000000000000724   
0601GEA0N       20240101000445000000005000 0000000000000738   
0601GEA0N       20240101000450000000005000 0000000000000752   
0601GEA0N       20240101000455000000005000 0000000000000767   
0601GEA0N       20240101000460000000005000 0000000000000782   
0601GEA0N       20240101000465000000005000 0000000000000796   
0601GEA0N       20240101000470000000005000 0000000000000810   
