00GL               20231116                                                                                   
0601GLA0N       20240101000000100000120000 0000000104000000   
0601GLA0N       20240101000120100000005000 0000000104000000   
0601GLA0N       20240101000125100000005000 0000000104000000   
0601GLA0N       20240101000130100000005000 0000000104000000   
0601GLA0N       20240101000135100000005000 0000000104000000   
0601GLA0N       20240101000140100000005000 0000000104000000   
0601GLA0N       20240101000145100000005000 0000000104000000   
0601GLA0N       20240101000150100000005000 0000000104000000   
0601GLA0N       20240101000155100000005000 0000000104000000   
0601GLA0N       20240101000160100000005000 0000000104000074   
0601GLA0N       20240101000165100000005000 0000000104000096   
0601GLA0N       20240101000170100000005000 0000000104000116   
0601GLA0N       20240101000175100000005000 0000000104000135   
0601GLA0N       20240101000180100000005000 0000000104000153   
0601GLA0N       20240101000185100000005000 0000000104000171   
0601GLA0N       20240101000190100000005000 0000000104000187   
0601GLA0N       20240101000195100000005000 0000000104000203   
0601GLA0N       20240101000200100000005000 0000000104000217   
0601GLA0N       20240101000205100000005000 0000000104000231   
0601GLA0N       20240101000210100000005000 0000000104000245   
0601GLA0N       20240101000215100000005000 0000000104000257   
0601GLA0N       20240101000220100000005000 0000000104000270   
0601GLA0N       20240101000225100000005000 0000000104000281   
0601GLA0N       20240101000230100000005000 0000000104000292   
0601GLA0N       20240101000235100000005000 0000000104000303   
0601GLA0N       20240101000240100000005000 0000000104000322   
0601GLA0N       20240101000245100000005000 0000000104000331   
0601GLA0N       20240101000250100000005000 0000000104000345   
0601GLA0N       20240101000255100000005000 0000000104000353   
0601GLA0N       20240101000260100000005000 0000000104000362   
0601GLA0N       20240101000265100000005000 0000000104000378   
0601GLA0N       20240101000270100000005000 0000000104000393   
0601GLA0N       20240101000275100000005000 0000000104000407   
0601GLA0N       20240101000280100000005000 0000000104000421   
0601GLA0N       20240101000285100000005000 0000000104000435   
0601GLA0N       20240101000290100000005000 0000000104000444   
0601GLA0N       20240101000295100000005000 0000000104000457   
0601GLA0N       20240101000300100000005000 0000000104000469   
0601GLA0N       20240101000305100000005000 0000000104000481   
0601GLA0N       20240101000310100000005000 0000000104000493   
0601GLA0N       20240101000315100000005000 0000000104000501   
0601GLA0N       20240101000320100000005000 0000000104000512   
0601GLA0N       20240101000325100000005000 0000000104000522   
0601GLA0N       20240101000330100000005000 0000000104000532   
0601GLA0N       20240101000335100000005000 0000000104000542   
0601GLA0N       20240101000340100000005000 0000000104000552   
0601GLA0N       20240101000345100000005000 0000000104000558   
0601GLA0N       20240101000350100000005000 0000000104000567   
0601GLA0N       20240101000355100000005000 0000000104000576   
0601GLA0N       20240101000360100000005000 0000000104000585   
0601GLA0N       20240101000365100000005000 0000000104000596   
0601GLA0N       20240101000370100000005000 0000000104000607   
0601GLA0N       20240101000375100000005000 0000000104000617   
0601GLA0N       20240101000380100000005000 0000000104000625   
0601GLA0N       20240101000385100000005000 0000000104000635   
0601GLA0N       20240101000390100000005000 0000000104000645   
0601GLA0N       20240101000395100000005000 0000000104000654   
0601GLA0N       20240101000400100000005000 0000000104000663   
0601GLA0N       20240101000405100000005000 0000000104000672   
0601GLA0N       20240101000410100000005000 0000000104000681   
0601GLA0N       20240101000415100000005000 0000000104000687   
0601GLA0N       20240101000420100000005000 0000000104000696   
0601GLA0N       20240101000425100000005000 0000000104000704   
0601GLA0N       20240101000430100000005000 0000000104000712   
0601GLA0N       20240101000435100000005000 0000000104000720   
0601GLA0N       20240101000440100000005000 0000000104000728   
0601GLA0N       20240101000445100000005000 0000000104000735   
0601GLA0N       20240101000450100000005000 0000000104000740   
0601GLA0N       20240101000455100000005000 0000000104000748   
0601GLA0N       20240101000460100000005000 0000000104000755   
0601GLA0N       20240101000465100000005000 0000000104000761   
0601GLA0N       20240101000470100000005000 0000000104000770   
0601GLA0N       20240101000475100000005000 0000000104000777   
0601GLA0N       20240101000480100000005000 0000000104000783   
0601GLA0N       20240101000485100000005000 0000000104000790   
0601GLA0N       20240101000490100000005000 0000000104000796   
0601GLA0N       20240101000495100000005000 0000000104000804   
0601GLA0N       20240101000500100000005000 0000000104000812   
0601GLA0N       20240101000505100000005000 0000000104000818   
0601GLA0N       20240101000510100000005000 0000000104000825   
0601GLA0N       20240101000515100000005000 0000000104000831   
0601GLA0N       20240101000520100000005000 0000000104000838   
0601GLA0N       20240101000525100000005000 0000000104000847   
0601GLA0N       20240101000530100000005000 0000000104000854   
0601GLA0N       20240101000535100000005000 0000000104000860   
0601GLA0N       20240101000540100000005000 0000000104000866   
0601GLA0N       20240101000545100000005000 0000000104000873   
0601GLA0N       20240101000550100000005000 0000000104000881   
0601GLA0N       20240101000555100000005000 0000000104000886   
0601GLA0N       20240101000560100000005000 0000000104000892   
0601GLA0N       20240101000565100000005000 0000000104000899   
0601GLA0N       20240101000570100000005000 0000000104000905   
0601GLA0N       20240101000575100000005000 0000000104000913   
0601GLA0N       20240101000580100000005000 0000000104000920   
0601GLA0N       20240101000585100000005000 0000000104000926   
0601GLA0N       20240101000590100000005000 0000000104000933   
0601GLA0N       20240101000595100000005000 0000000104000939   
0601GLA0N       20240101000600100000005000 0000000104000946   
0601GLA0N       20240101000605100000005000 0000000104000953   
0601GLA0N       20240101000610100000005000 0000000104000958   
0601GLA0N       20240101000615100000005000 0000000104000965   
0601GLA0N       20240101000620100000005000 0000000104000970   
0601GLA0N       20240101000625100000005000 0000000104000977   
0601GLA0N       20240101000630100000005000 0000000104000983   
0601GLA0N       20240101000635100000005000 0000000104000988   
0601GLA0N       20240101000640100000005000 0000000104000995   
0601GLA0N       20240101000645100000005000 0000000104001001   
0601GLA0N       20240101000650100000005000 0000000104001007   
0601GLA0N       20240101000655100000005000 0000000104001011   
0601GLA0N       20240101000660100000005000 0000000104001017   
0601GLA0N       20240101000665100000005000 0000000104001023   
0601GLA0N       20240101000670100000005000 0000000104001029   
0601GLA0N       20240101000675100000005000 0000000104001033   
0601GLA0N       20240101000680100000005000 0000000104001039   
0601GLA0N       20240101000685100000005000 0000000104001044   
0601GLA0N       20240101000690100000005000 0000000104001050   
0601GLA0N       20240101000695100000005000 0000000104001054   
0601GLA0N       20240101000700100000005000 0000000104001059   
0601GLA0N       20240101000705100000005000 0000000104001064   
0601GLA0N       20240101000710100000005000 0000000104001068   
0601GLA0N       20240101000715100000005000 0000000104001073   
0601GLA0N       20240101000720100000005000 0000000104001078   
0601GLA0N       20240101000725100000005000 0000000104001083   
0601GLA0N       20240101000730100000005000 0000000104001087   
0601GLA0N       20240101000735100000005000 0000000104001092   
0601GLA0N       20240101000740100000005000 0000000104001096   
0601GLA0N       20240101000745100000005000 0000000104001101   
0601GLA0N       20240101000750100000005000 0000000104001104   
0601GLA0N       20240101000755100000005000 0000000104001109   
0601GLA0N       20240101000760100000005000 0000000104001113   
0601GLA0N       20240101000765100000005000 0000000104001118   
0601GLA0N       20240101000770100000005000 0000000104001121   
0601GLA0N       20240101000775100000005000 0000000104001125   
0601GLA0N       20240101000780100000005000 0000000104001132   
0601GLA0N       20240101000785100000005000 0000000104001135   
0601GLA0N       20240101000790100000005000 0000000104001139   
0601GLA0N       20240101000795100000005000 0000000104001144   
0601GLA0N       20240101000800100000005000 0000000104001146   
0601GLA0N       20240101000805100000005000 0000000104001150   
0601GLA0N       20240101000810100000005000 0000000104001156   
0601GLA0N       20240101000815100000005000 0000000104001161   
0601GLA0N       20240101000820100000005000 0000000104001166   
0601GLA0N       20240101000825100000005000 0000000104001171   
0601GLA0N       20240101000830100000005000 0000000104001176   
0601GLA0N       20240101000835100000005000 0000000104001181   
0601GLA0N       20240101000840100000005000 0000000104001186   
0601GLA0N       20240101000845100000005000 0000000104001191   
0601GLA0N       20240101000850100000005000 0000000104001195   
0601GLA0N       20240101000855100000005000 0000000104001200   
0601GLA0N       20240101000860100000005000 0000000104001205   
0601GLA0N       20240101000865100000005000 0000000104001209   
0601GLA0N       20240101000870100000005000 0000000104001214   
0601GLA0N       20240101000875100000005000 0000000104001219   
0601GLA0N       20240101000880100000005000 0000000104001224   
0601GLA0N       20240101000885100000005000 0000000104001228   
0601GLA0N       20240101000890100000005000 0000000104001232   
0601GLA0N       20240101000895100000005000 0000000104001237   
0601GLA0N       20240101000900100000005000 0000000104001242   
0601GLA0N       20240101000905100000005000 0000000104001246   
0601GLA0N       20240101000910100000005000 0000000104001250   
0601GLA0N       20240101000915100000005000 0000000104001254   
0601GLA0N       20240101000920100000005000 0000000104001260   
0601GLA0N       20240101000925100000005000 0000000104001264   
0601GLA0N       20240101000930100000005000 0000000104001268   
0601GLA0N       20240101000935100000005000 0000000104001271   
0601GLA0N       20240101000940100000005000 0000000104001276   
0601GLA0N       20240101000945100000005000 0000000104001280   
0601GLA0N       20240101000950100000005000 0000000104001284   
0601GLA0N       20240101000955100000005000 0000000104001288   
0601GLA0N       20240101000960100000005000 0000000104001292   
0601GLA0N       20240101000965100000005000 0000000104001296   
0601GLA0N       20240101000970100000005000 0000000104001300   
0601GLA0N       20240101000975100000005000 0000000104001303   
0601GLA0N       20240101000980100000005000 0000000104001308   
0601GLA0N       20240101000985100000005000 0000000104001311   
0601GLA0N       20240101000990100000005000 0000000104001315   
0601GLA0N       20240101000995100000005000 0000000104001318   
0601GLA0N       20240101001000100000005000 0000000104001323   
0601GLA0N       20240101001005100000005000 0000000104001326   
0601GLA0N       20240101001010100000005000 0000000104001329   
0601GLA0N       20240101001015100000005000 0000000104001333   
0601GLA0N       20240101001020100000005000 0000000104001337   
0601GLA0N       20240101001025100000005000 0000000104001340   
0601GLA0N       20240101001030100000005000 0000000104001343   
0601GLA0N       20240101001035100000005000 0000000104001347   
0601GLA0N       20240101001040100000005000 0000000104001351   
0601GLA0N       20240101001045100000005000 0000000104001354   
0601GLA0N       20240101001050100000005000 0000000104001357   
0601GLA0N       20240101001055100000005000 0000000104001360   
0601GLA0N       20240101001060100000005000 0000000104001364   
0601GLA0N       20240101001065100000005000 0000000104001367   
0601GLA0N       20240101001070100000005000 0000000104001370   
0601GLA0N       20240101001075100000005000 0000000104001374   
0601GLA0N       20240101001080100000005000 0000000104001377   
0601GLA0N       20240101001085100000005000 0000000104001380   
0601GLA0N       20240101001090100000005000 0000000104001384   
0601GLA0N       20240101001095100000005000 0000000104001390   
0601GLA0N       20240101001100100000005000 0000000104001393   
0601GLA0N       20240101001105100000005000 0000000104001397   
0601GLA0N       20240101001110100000005000 0000000104001400   
0601GLA0N       20240101001115100000005000 0000000104001403   
0601GLA0N       20240101001120100000005000 0000000104001407   
0601GLA0N       20240101001125100000005000 0000000104001410   
0601GLA0N       20240101001130100000005000 0000000104001414   
0601GLA0N       20240101001135100000005000 0000000104001420   
0601GLA0N       20240101001140100000005000 0000000104001424   
0601GLA0N       20240101001145100000005000 0000000104001427   
0601GLA0N       20240101001150100000005000 0000000104001432   
0601GLA0N       20240101001155100000005000 0000000104001436   
0601GLA0N       20240101001160100000005000 0000000104001442   
0601GLA0N       20240101001165100000005000 0000000104001445   
0601GLA0N       20240101001170100000005000 0000000104001449   
0601GLA0N       20240101001175100000005000 0000000104001453   
0601GLA0N       20240101001180100000005000 0000000104001456   
0601GLA0N       20240101001185100000005000 0000000104001462   
