00OW               20231201                                                                                   
0601OWA0N       20240101000000100000040000 0000000030000000   
0601OWA0N       20240101000040100000005000 0000000030000071   
0601OWA0N       20240101000045100000005000 0000000030000063   
0601OWA0N       20240101000050100000005000 0000000030000057   
0601OWA0N       20240101000055100000005000 0000000030000052   
0601OWA0N       20240101000060100000005000 0000000030000048   
0601OWA0N       20240101000065100000005000 0000000030000044   
0601OWA0N       20240101000070100000005000 0000000030000041   
0601OWA0N       20240101000075100000005000 0000000030000039   
0601OWA0N       20240101000080100000005000 0000000030000036   
0601OWA0N       20240101000085100000005000 0000000030000034   
0601OWA0N       20240101000090100000005000 0000000030000032   
0601OWA0N       20240101000095100000005000 0000000030000031   
0601OWA0N       20240101000100100000005000 0000000030000029   
0601OWA0N       20240101000105100000005000 0000000030000028   
0601OWA0N       20240101000110100000005000 0000000030000027   
0601OWA0N       20240101000115100000005000 0000000030000026   
0601OWA0N       20240101000120100000005000 0000000030000024   
0601OWA0N       20240101000125100000005000 0000000030000024   
0601OWA0N       20240101000130100000005000 0000000030000023   
0601OWA0N       20240101000135100000005000 0000000030000022   
0601OWA0N       20240101000140100000005000 0000000030000021   
0601OWA0N       20240101000145100000005000 0000000030000020   
0601OWA0N       20240101000150100000005000 0000000030000020   
0601OWA0N       20240101000155100000005000 0000000030000019   
0601OWA0N       20240101000160100000005000 0000000030000018   
0601OWA0N       20240101000165100000005000 0000000030000018   
0601OWA0N       20240101000170100000005000 0000000030000017   
0601OWA0N       20240101000175100000005000 0000000030000017   
0601OWA0N       20240101000180100000005000 0000000030000016   
0601OWA0N       20240101000185100000005000 0000000030000016   
0601OWA0N       20240101000190100000005000 0000000030000016   
0601OWA0N       20240101000195100000005000 0000000030000015   
0601OWA0N       20240101000200100000005000 0000000030000015   
0601OWA0N       20240101000205100000005000 0000000030000043   
0601OWA0N       20240101000210100000005000 0000000030000071   
0601OWA0N       20240101000215100000005000 0000000030000097   
0601OWA0N       20240101000220100000005000 0000000030000121   
0601OWA0N       20240101000225100000005000 0000000030000145   
0601OWA0N       20240101000230100000005000 0000000030000168   
0601OWA0N       20240101000235100000005000 0000000030000194   
0601OWA0N       20240101000240100000005000 0000000030000223   
0601OWA0N       20240101000245100000005000 0000000030000242   
0601OWA0N       20240101000250100000005000 0000000030000265   
0601OWA0N       20240101000255100000005000 0000000030000283   
0601OWA0N       20240101000260100000005000 0000000030000301   
0601OWA0N       20240101000265100000005000 0000000030000318   
0601OWA0N       20240101000270100000005000 0000000030000341   
0601OWA0N       20240101000275100000005000 0000000030000357   
0601OWA0N       20240101000280100000005000 0000000030000372   
0601OWA0N       20240101000285100000005000 0000000030000386   
0601OWA0N       20240101000290100000005000 0000000030000403   
0601OWA0N       20240101000295100000005000 0000000030000417   
0601OWA0N       20240101000300100000005000 0000000030000430   
0601OWA0N       20240101000305100000005000 0000000030000449   
0601OWA0N       20240101000310100000005000 0000000030000461   
0601OWA0N       20240101000315100000005000 0000000030000472   
0601OWA0N       20240101000320100000005000 0000000030000484   
0601OWA0N       20240101000325100000005000 0000000030000498   
0601OWA0N       20240101000330100000005000 0000000030000508   
0601OWA0N       20240101000335100000005000 0000000030000519   
0601OWA0N       20240101000340100000005000 0000000030000534   
0601OWA0N       20240101000345100000005000 0000000030000544   
0601OWA0N       20240101000350100000005000 0000000030000553   
0601OWA0N       20240101000355100000005000 0000000030000562   
0601OWA0N       20240101000360100000005000 0000000030000574   
0601OWA0N       20240101000365100000005000 0000000030000582   
0601OWA0N       20240101000370100000005000 0000000030000591   
0601OWA0N       20240101000375100000005000 0000000030000601   
0601OWA0N       20240101000380100000005000 0000000030000612   
0601OWA0N       20240101000385100000005000 0000000030000619   
0601OWA0N       20240101000390100000005000 0000000030000627   
0601OWA0N       20240101000395100000005000 0000000030000636   
0601OWA0N       20240101000400100000005000 0000000030000643   
0601OWA0N       20240101000405100000005000 0000000030000650   
0601OWA0N       20240101000410100000005000 0000000030000662   
0601OWA0N       20240101000415100000005000 0000000030000668   
0601OWA0N       20240101000420100000005000 0000000030000675   
0601OWA0N       20240101000425100000005000 0000000030000681   
0601OWA0N       20240101000430100000005000 0000000030000689   
0601OWA0N       20240101000435100000005000 0000000030000697   
0601OWA0N       20240101000440100000005000 0000000030000707   
0601OWA0N       20240101000445100000005000 0000000030000713   
0601OWA0N       20240101000450100000005000 0000000030000720   
0601OWA0N       20240101000455100000005000 0000000030000730   
0601OWA0N       20240101000460100000005000 0000000030000735   
0601OWA0N       20240101000465100000005000 0000000030000744   
0601OWA0N       20240101000470100000005000 0000000030000751   
