00SG               20231206                                                                                   
0601SGA0N       20240101000000100000005000 0000000050002000   
0601SGA0N       20240101000005100000005000 0000000050000667   
0601SGA0N       20240101000010100000005000 0000000050000400   
0601SGA0N       20240101000015100000005000 0000000050000286   
0601SGA0N       20240101000020100000005000 0000000050000222   
0601SGA0N       20240101000025100000005000 0000000050000182   
0601SGA0N       20240101000030100000005000 0000000050000154   
0601SGA0N       20240101000035100000005000 0000000050000133   
0601SGA0N       20240101000040100000005000 0000000050000118   
0601SGA0N       20240101000045100000005000 0000000050000105   
0601SGA0N       20240101000050100000005000 0000000050000095   
0601SGA0N       20240101000055100000005000 0000000050000087   
0601SGA0N       20240101000060100000005000 0000000050000080   
0601SGA0N       20240101000065100000005000 0000000050000074   
0601SGA0N       20240101000070100000005000 0000000050000069   
0601SGA0N       20240101000075100000005000 0000000050000065   
0601SGA0N       20240101000080100000005000 0000000050000061   
0601SGA0N       20240101000085100000005000 0000000050000057   
0601SGA0N       20240101000090100000005000 0000000050000054   
0601SGA0N       20240101000095100000005000 0000000050000051   
0601SGA0N       20240101000100100000005000 0000000050000049   
0601SGA0N       20240101000105100000005000 0000000050000047   
0601SGA0N       20240101000110100000005000 0000000050000044   
0601SGA0N       20240101000115100000005000 0000000050000043   
0601SGA0N       20240101000120100000005000 0000000050000041   
0601SGA0N       20240101000125100000005000 0000000050000039   
0601SGA0N       20240101000130100000005000 0000000050000038   
0601SGA0N       20240101000135100000005000 0000000050000036   
0601SGA0N       20240101000140100000005000 0000000050000035   
0601SGA0N       20240101000145100000005000 0000000050000034   
0601SGA0N       20240101000150100000005000 0000000050000033   
0601SGA0N       20240101000155100000005000 0000000050000032   
0601SGA0N       20240101000160100000005000 0000000050000031   
0601SGA0N       20240101000165100000005000 0000000050000030   
0601SGA0N       20240101000170100000005000 0000000050000048   
0601SGA0N       20240101000175100000005000 0000000050000066   
0601SGA0N       20240101000180100000005000 0000000050000084   
0601SGA0N       20240101000185100000005000 0000000050000101   
0601SGA0N       20240101000190100000005000 0000000050000117   
0601SGA0N       20240101000195100000005000 0000000050000132   
0601SGA0N       20240101000200100000005000 0000000050000147   
0601SGA0N       20240101000205100000005000 0000000050000162   
0601SGA0N       20240101000210100000005000 0000000050000184   
0601SGA0N       20240101000215100000005000 0000000050000206   
0601SGA0N       20240101000220100000005000 0000000050000227   
0601SGA0N       20240101000225100000005000 0000000050000248   
0601SGA0N       20240101000230100000005000 0000000050000267   
0601SGA0N       20240101000235100000005000 0000000050000286   
0601SGA0N       20240101000240100000005000 0000000050000312   
0601SGA0N       20240101000245100000005000 0000000050000331   
0601SGA0N       20240101000250100000005000 0000000050000348   
0601SGA0N       20240101000255100000005000 0000000050000365   
0601SGA0N       20240101000260100000005000 0000000050000381   
0601SGA0N       20240101000265100000005000 0000000050000396   
0601SGA0N       20240101000270100000005000 0000000050000412   
0601SGA0N       20240101000275100000005000 0000000050000426   
0601SGA0N       20240101000280100000005000 0000000050000440   
